word,type,definition
abandon,verb,"to leave somebody, especially somebody you are responsible for, with no intention of returning"
ability,noun,the fact that somebody/something is able to do something
able,adjective,"to have the skill, intelligence, opportunity, etc. needed to do something"
abolish,verb,"to officially end a law, a system or an institution"
abortion,noun,the deliberate ending of a pregnancy at an early stage
about,adverb,a little more or less than; a little before or after
about,preposition,on the subject of somebody/something; in connection with somebody/something
above,adverb,at or to a higher place
above,preposition,at or to a higher place or position than something/somebody
abroad,adverb,in or to a foreign country
absence,noun,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away
absent,adjective,"not in a place because of illness, etc."
absolute,adjective,total and complete
absolutely,adverb,used to emphasize that something is completely true
absorb,verb,"to take in a liquid, gas or other substance from the surface or space around"
abstract,adjective,"based on general ideas and not on any particular real person, thing or situation"
absurd,adjective,extremely silly; not logical and sensible
abundance,noun,a large quantity that is more than enough
abuse,noun,the use of something in a way that is wrong or harmful
abuse,verb,"to make bad use of something, or to use so much of something that it harms your health"
academic,adjective,"connected with education, especially studying in schools and universities"
academic,noun,a person who teaches and/or does research at a university or college
academy,noun,a school or college for special training
accelerate,verb,to happen faster or earlier; to make something happen faster or earlier
accent,noun,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language"
accept,verb,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc."
acceptable,adjective,agreed or approved of by most people in a society
acceptance,noun,"the act of accepting a gift, an invitation, an offer, etc."
access,noun,the opportunity or right to use something or to see somebody/something
access,verb,to open a computer file or use a computer system
accessible,adjective,"that can be reached, entered, used, seen, etc."
accident,noun,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage"
accidentally,adverb,by chance; in a way that was not planned
accommodate,verb,"to provide somebody with a room or place to sleep, live or sit"
accommodation,noun,"a place to live, work or stay in"
accompany,verb,to travel or go somewhere with somebody/something
accomplish,verb,to succeed in doing or completing something
accomplishment,noun,an impressive thing that is done or achieved after a lot of work
accordance,noun,according to a rule or the way that somebody says that something should be done
accordingly,adverb,in a way that is appropriate to what has been done or said in a particular situation
account,noun,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc."
account,verb,to have the opinion that somebody/something is a particular thing
accountability,noun,the fact of being responsible for your decisions or actions and expected to explain them when you are asked
accountable,adjective,responsible for your decisions or actions and expected to explain them when you are asked
accountant,noun,a person whose job is to keep or check financial accounts
accumulate,verb,to gradually get more and more of something over a period of time
accumulation,noun,the process of gradually increasing or getting more and more of something over a period of time
accuracy,noun,the state of being exact or correct; the ability to do something with skill and without making mistakes
accurate,adjective,correct and true in every detail
accurately,adverb,in a way that is correct and true in every detail
accusation,noun,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody
accuse,verb,to say that somebody has done something wrong or is guilty of something
accused,noun,a person who is on trial for committing a crime
achieve,verb,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"
achievement,noun,"a thing that somebody has done successfully, especially using their own effort and skill"
acid,adjective,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven
acid,noun,"a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch."
acknowledge,verb,to accept that something is true
acquire,verb,"to gain something by your own efforts, ability or behaviour"
acquisition,noun,"the act of getting something, especially knowledge, a skill, etc."
acre,noun,a unit for measuring an area of land; 4 840 square yards or about 4 050 square metres
across,adverb,from one side to the other side
across,preposition,from one side to the other side of something
act,noun,a particular thing that somebody does
act,verb,to do something for a particular purpose or in order to deal with a situation
action,noun,the process of doing something in order to make something happen or to deal with a situation
activate,verb,to make something such as a device or chemical process start working
activation,noun,the act of making something such as a device or chemical process start working
active,adjective,"always busy doing things, especially physical activities"
activist,noun,"a person who works to achieve political or social change, especially as a member of an organization with particular aims"
activity,noun,a thing that you do for interest or pleasure
actor,noun,"a person who performs on the stage, on television or in films, especially as a profession"
actress,noun,"a woman who performs on the stage, on television or in films, especially as a profession"
actual,adjective,used to emphasize something that is real or exists in fact
actually,adverb,"used in speaking to emphasize a fact or a comment, or that something is really true"
acute,adjective,very serious or severe
ad,noun,"a notice, picture or film telling people about a product, job or service"
adapt,verb,to change your behaviour in order to deal more successfully with a new situation
adaptation,noun,"the action or process of changing something, or of being changed, to suit a new purpose or situation"
add,verb,"to put something together with something else so as to increase the size, number, amount, etc."
addiction,noun,"the condition of being unable to stop using or doing something as a habit, especially something harmful"
addition,noun,a thing that is added to something else
additional,adjective,more than was first mentioned or is usual
additionally,adverb,in a way that is more than was first mentioned or is usual
address,noun,"details of where somebody lives or works and where letters, etc. can be sent"
address,verb,to think about a problem or a situation and decide how you are going to deal with it
adequate,adjective,"enough in quantity, or good enough in quality, for a particular purpose or need"
adequately,adverb,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need"
adhere,verb,to stick to something
adjacent,adjective,next to something
adjust,verb,to change something slightly to make it more suitable for a new set of conditions or to make it work better
adjustment,noun,a small change made to something in order to correct or improve it
administer,verb,"to manage and organize the affairs of a company, an organization, a country, etc."
administration,noun,"the activities that are done in order to plan, organize and run a business, school or other institution"
administrative,adjective,connected with organizing the work of a business or an institution
administrator,noun,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc."
admire,verb,to respect somebody for what they have done or to respect their qualities
admission,noun,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization"
admit,verb,"to agree, often unwillingly, that something is true"
adolescent,noun,a young person who is developing from a child into an adult
adopt,verb,to take somebody else’s child into your family and become its legal parent(s)
adoption,noun,the act of adopting a child; the fact of being adopted
adult,adjective,fully grown or developed
adult,noun,a fully grown person who is legally responsible for their actions
advance,adjective,done or given before something is going to happen
advance,noun,progress or a development in a particular activity or area of understanding
advance,verb,"if knowledge, technology, etc. advances, it develops and improves"
advanced,adjective,"having the most modern and recently developed ideas, methods, etc."
advantage,noun,a thing that helps you to be better or more successful than other people
adventure,noun,"an unusual, exciting or dangerous experience, journey or series of events"
adverse,adjective,negative and unpleasant; not likely to produce a good result
advertise,verb,to tell the public about a product or a service in order to encourage people to buy or to use it
advertisement,noun,"a notice, picture or film telling people about a product, job or service"
advertising,noun,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc."
advice,noun,an opinion or a suggestion about what somebody should do in a particular situation
advise,verb,to tell somebody what you think they should do in a particular situation
advocate,noun,a person who supports or speaks in favour of somebody or of a public plan or action
advocate,verb,to support something publicly
aesthetic,adjective,connected with beauty and art and the understanding of beautiful things
affair,noun,events that are of public interest or political importance
affect,verb,to produce a change in somebody/something
affection,noun,the feeling of liking or loving somebody/something very much and caring about them
afford,verb,to have enough money to be able to buy or do something
affordable,adjective,cheap enough that people can afford to pay it or buy it
afraid,adjective,feeling fear; frightened because you think that you might be hurt or suffer
after,adverb,later in time; afterwards
after,conjunction,at a time later than something; when something has finished
after,preposition,later than something; following something in time
aftermath,noun,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc."
afternoon,noun,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening
afterwards,adverb,at a later time; after an event that has already been mentioned
again,adverb,one more time; on another occasion
against,preposition,opposing or disagreeing with somebody/something
age,noun,the number of years that a person has lived or a thing has existed
age,verb,to become older
aged,adjective,of the age of
agency,noun,a business or an organization that provides a particular service especially when representing other businesses or organizations
agenda,noun,a list of items to be discussed at a meeting
agent,noun,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
aggression,noun,feelings of anger and hate that may result in threatening or violent behaviour
aggressive,adjective,"angry, and behaving in a threatening way; ready to attack"
ago,adverb,used in expressions of time with the simple past tense to show how far in the past something happened
agree,verb,to have the same opinion as somebody; to say that you have the same opinion
agreement,noun,"an arrangement, a promise or a contract made with somebody"
agricultural,adjective,connected with the science or practice of farming
agriculture,noun,the science or practice of farming
ah,exclamation,"used to express surprise, pleasure or sympathy, or when you disagree with somebody"
ahead,adverb,further forward in space or time; in front
aid,noun,"money, food, etc. that is sent to help countries in difficult situations"
aid,verb,"to help somebody/something to do something, especially by making it easier"
aide,noun,"a person who helps another person, especially a politician, in their job"
AIDS,noun,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’)
aim,noun,the purpose of doing something; what somebody is trying to achieve
aim,verb,to try or plan to achieve something
air,noun,the mixture of gases that surrounds the earth and that we breathe
aircraft,noun,any vehicle that can fly and carry goods or passengers
airline,noun,a company that provides regular flights to take passengers and goods to different places
airport,noun,a place where planes land and take off and that has buildings for passengers to wait in
alarm,noun,a loud noise or a signal that warns people of danger or of a problem
alarm,verb,to make somebody anxious or afraid
albeit,conjunction,although
album,noun,"a book in which you keep photographs, stamps, etc."
alcohol,noun,"drinks such as beer, wine, etc. that can make people drunk"
alcoholic,adjective,connected with or containing alcohol
alert,adjective,able to think quickly; quick to notice things
alert,noun,a situation in which people are watching for danger and ready to deal with it
alert,verb,to warn somebody about a dangerous situation or one that requires immediate action
alien,adjective,strange and frightening; different from what you are used to
alien,noun,a person who is not a citizen of the country in which they live or work
align,verb,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line"
alignment,noun,arrangement in a straight line
alike,adjective,very similar
alike,adverb,in a very similar way
alive,adjective,living; not dead
all,adverb,completely
all,determiner,the whole number of
all,pronoun,the whole number or amount
allright,adjective,acceptable; in an acceptable manner
allright,adverb,acceptable; in an acceptable manner
allright,exclamation,used to check that somebody agrees or understands
allegation,noun,"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal"
allege,verb,to state something as a fact but without giving proof
allegedly,adverb,expressed as though something is a fact but without giving any proof
alliance,noun,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
allocate,verb,to give something officially to somebody/something for a particular purpose
allocation,noun,"an amount of money, space, etc. that is given to somebody for a particular purpose"
allow,verb,to let somebody/something do something; to let something happen or be done
allowance,noun,an amount of money that is given to somebody regularly or for a particular purpose
ally,noun,"a country that has agreed to help and support another country, especially in case of a war"
almost,adverb,not quite
alone,adjective,without any other people
alone,adverb,without any other people
along,adverb,forward
along,preposition,from one end to or towards the other end of something
alongside,preposition,next to or at the side of something
already,adverb,before now or before a particular time in the past
also,adverb,in addition; too
alter,verb,to become different; to make somebody/something different
